No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;
301;34,756572;;34,756572;34,790346;-18,245219;;-71,280784;71,23695;142,517734;;
303;34,790346;;34,790346;34,83418;53,035565;;71,23695;-71,546342;-142,783292;;
304;34,83418;;34,83418;35,143572;-18,201385;;-71,546342;71,49894;143,045282;;
308;35,143572;;35,143572;35,190974;53,344957;;71,49894;-71,750316;-143,249256;;
309;35,190974;;35,190974;35,44235;-18,153983;;-71,750316;71,625008;143,375324;;
310;35,44235;;35,44235;35,567658;53,596333;;71,625008;-71,641328;-143,266336;;
311;35,567658;;35,567658;35,583978;-18,028675;;-71,641328;71,626123;143,267451;;
312;35,583978;;35,583978;35,599183;53,612653;;71,626123;-72,224936;-143,851059;;
313;35,599183;;35,599183;36,197996;-18,01347;;-72,224936;72,081782;144,306718;;
315;36,197996;;36,197996;36,34115;54,211466;;72,081782;-72,084669;-144,166451;;
317;36,34115;;36,34115;36,344037;-17,870316;;-72,084669;72,084607;144,169276;;
318;36,344037;;36,344037;36,344099;54,214353;;72,084607;-72,14077;-144,225377;;
319;36,344099;;36,344099;36,400262;-17,870254;;-72,14077;72,084907;144,225677;;
320;36,400262;;36,400262;36,456125;54,270516;;72,084907;-72,40605;-144,490957;;
321;36,456125;;36,456125;36,777268;-17,814391;;-72,40605;72,40597;144,81202;;
323;36,777268;;36,777268;36,777348;54,591659;;72,40597;-72,406247;-144,812217;;
324;36,777348;;36,777348;36,777625;-17,814311;;-72,406247;72,405644;144,811891;;
325;36,777625;;36,777625;36,778228;54,591936;;72,405644;-72,995802;-145,401446;;
326;36,778228;;36,778228;37,368386;-17,813708;;-72,995802;72,995687;145,991489;;
327;37,368386;;37,368386;37,368501;55,182094;;72,995687;-73,086113;-146,0818;;
328;37,368501;;37,368501;37,458927;-17,813593;;-73,086113;72,766977;145,85309;;
329;37,458927;;37,458927;37,778063;55,27252;;72,766977;-72,782438;-145,549415;;
330;37,778063;;37,778063;37,793524;-17,494457;;-72,782438;72,78237;145,564808;;
331;37,793524;;37,793524;37,793592;55,287981;;72,78237;-72,971454;-145,753824;;
332;37,793592;;37,793592;37,982676;-17,494389;;-72,971454;72,971311;145,942765;;
333;37,982676;;37,982676;37,982819;55,477065;;72,971311;-72,971628;-145,942939;;
334;37,982819;;37,982819;37,983136;-17,494246;;-72,971628;72,749891;145,721519;;
335;37,983136;;37,983136;38,204873;55,477382;;72,749891;-73,013912;-145,763803;;
336;38,204873;;38,204873;38,468894;-17,272509;;-73,013912;73,011384;146,025296;;
337;38,468894;;38,468894;38,471422;55,741403;;73,011384;-73,011556;-146,02294;;
338;38,471422;;38,471422;38,471594;-17,269981;;-73,011556;71,862265;144,873821;;
339;38,471594;;38,471594;39,620885;55,741575;;71,862265;-71,862344;-143,724609;;
343;39,620885;;39,620885;39,620964;-16,12069;;-71,862344;71,787568;143,649912;;
344;39,620964;;39,620964;39,69574;55,741654;;71,787568;-71,787694;-143,575262;;
345;39,69574;;39,69574;39,695866;-16,045914;;-71,787694;71,787546;143,57524;;
346;39,695866;;39,695866;39,696014;55,74178;;71,787546;-71,787612;-143,575158;;
347;39,696014;;39,696014;39,69608;-16,045766;;-71,787612;71,787371;143,574983;;
348;39,69608;;39,69608;39,696321;55,741846;;71,787371;-71,787594;-143,574965;;
349;39,696321;;39,696321;39,696544;-16,045525;;-71,787594;71,697532;143,485126;;
350;39,696544;;39,696544;39,786606;55,742069;;71,697532;-71,941508;-143,63904;;
351;39,786606;;39,786606;40,030582;-15,955463;;-71,941508;71,941508;143,883016;;
357;40,030582;;40,030582;40,030582;55,986045;;71,941508;-71,941585;-143,883093;;
358;40,030582;;40,030582;40,030659;-15,955463;;-71,941585;71,941501;143,883086;;
359;40,030659;;40,030659;40,030743;55,986122;;71,941501;-72,146055;-144,087556;;
360;40,030743;;40,030743;40,235297;-15,955379;;-72,146055;72,145888;144,291943;;
361;40,235297;;40,235297;40,235464;56,190676;;72,145888;-72,146602;-144,29249;;
362;40,235464;;40,235464;40,236178;-15,955212;;-72,146602;71,942118;144,08872;;
363;40,236178;;40,236178;40,440662;56,19139;;71,942118;-71,942194;-143,884312;;
364;40,440662;;40,440662;40,440738;-15,750728;;-71,942194;71,92487;143,867064;;
365;40,440738;;40,440738;40,458062;56,191466;;71,92487;-71,924949;-143,849819;;
366;40,458062;;40,458062;40,458141;-15,733404;;-71,924949;71,912552;143,837501;;
367;40,458141;;40,458141;40,470538;56,191545;;71,912552;-71,912552;-143,825104;;
368;40,470538;;40,470538;40,470538;-15,721007;;-71,912552;71,635429;143,547981;;
369;40,470538;;40,470538;40,747661;56,191545;;71,635429;-71,635429;-143,270858;;
370;40,747661;;40,747661;40,747661;-15,443884;;-71,635429;71,583459;143,218888;;
371;40,747661;;40,747661;40,799631;56,191545;;71,583459;-71,601116;-143,184575;;
372;40,799631;;40,799631;40,817288;-15,391914;;-71,601116;71,595059;143,196175;;
373;40,817288;;40,817288;40,823345;56,209202;;71,595059;-71,595059;-143,190118;;
374;40,823345;;40,823345;40,823345;-15,385857;;-71,595059;71,594828;143,189887;;
375;40,823345;;40,823345;40,823576;56,209202;;71,594828;-71,642644;-143,237472;;
376;40,823576;;40,823576;40,871392;-15,385626;;-71,642644;71,642474;143,285118;;
377;40,871392;;40,871392;40,871562;56,257018;;71,642474;-71,669231;-143,311705;;
378;40,871562;;40,871562;40,898319;-15,385456;;-71,669231;71,669149;143,33838;;
379;40,898319;;40,898319;40,898401;56,283775;;71,669149;-71,669702;-143,338851;;
380;40,898401;;40,898401;40,898954;-15,385374;;-71,669702;71,669413;143,339115;;
381;40,898954;;40,898954;40,899243;56,284328;;71,669413;-71,670409;-143,339822;;
382;40,899243;;40,899243;40,900239;-15,385085;;-71,670409;71,670346;143,340755;;
383;40,900239;;40,900239;40,900302;56,285324;;71,670346;-72,015769;-143,686115;;
384;40,900302;;40,900302;41,245725;-15,385022;;-72,015769;71,672293;143,688062;;
385;41,245725;;41,245725;41,589201;56,630747;;71,672293;-71,67524;-143,347533;;
387;41,589201;;41,589201;41,592148;-15,041546;;-71,67524;71,599974;143,275214;;
